
Linux 2.6.32-431.3.1.el6.x86_64 (localhost.localdomain) 	03/02/14 	_x86_64_	(2 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-1              0.00     0.00    0.00  308.33     0.00  2165.33     7.02     0.82    2.67   2.35  72.47
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  271.67     0.00  2165.33     7.97     0.82    3.03   2.67  72.57
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    58.67    0.00   83.33     0.00   949.33    11.39     0.30    3.66   3.30  27.50
sdb               0.00    55.67    0.00   81.00     0.00   832.00    10.27     0.27    3.34   3.08  24.97
sdc               0.00    54.33    0.00   73.67     0.00   757.33    10.28     0.21    2.91   2.81  20.73
sdd               0.00    55.33    0.00   84.33     0.00   850.67    10.09     0.27    3.20   3.06  25.83
dm-0              0.00     0.00    0.00  419.00     0.00  3389.33     8.09     1.43    3.41   1.77  74.17
dm-1              0.00     0.00    0.00  419.00     0.00  3389.33     8.09     1.43    3.41   1.77  74.17
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  377.33     0.00  3376.00     8.95     1.41    3.73   1.95  73.73
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.02   11.83  10.50   2.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    56.67    0.00   77.00     0.00   754.67     9.80     0.25    3.25   3.24  24.93
sdb               0.00    56.00    0.00   63.00     0.00   637.33    10.12     0.18    2.80   2.80  17.67
sdc               2.33    52.00    0.33   78.67    21.33   728.00     9.49     0.27    3.41   3.25  25.70
sdd               2.33    50.33    0.33   79.67    21.33   722.67     9.30     0.31    3.91   3.89  31.10
dm-0              0.00     0.00    5.33  395.00    42.67  2842.67     7.21     1.28    3.20   1.89  75.50
dm-1              0.00     0.00    0.00  395.00     0.00  2842.67     7.20     1.26    3.18   1.90  75.17
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    5.33    0.00    42.67     0.00     8.00     0.03    5.50   0.69   0.37
dm-4              0.00     0.00    0.00    0.67     0.00     5.33     8.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  355.67     0.00  2837.33     7.98     1.26    3.53   2.12  75.27
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    34.33    0.00   66.33     0.00   477.33     7.20     0.18    2.69   2.67  17.70
sdb               0.00    34.67    0.00   79.67     0.00   586.67     7.36     0.26    3.25   3.21  25.57
sdc               2.33    39.00    0.33   79.33    21.33   621.33     8.07     0.28    3.58   3.40  27.10
sdd               2.33    37.00    0.33   80.33    21.33   613.33     7.87     0.28    3.47   3.18  25.67
dm-0              0.00     0.00    5.33  328.00    42.67  2298.67     7.02     0.91    2.73   2.21  73.77
dm-1              0.00     0.00    0.00  328.00     0.00  2298.67     7.01     0.91    2.77   2.25  73.80
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    5.33    0.00    42.67     0.00     8.00     0.00    0.50   0.06   0.03
dm-4              0.00     0.00    0.00    1.33     0.00    10.67     8.00     0.01    7.25   7.25   0.97
dm-5              0.00     0.00    0.00  285.33     0.00  2274.67     7.97     0.89    3.13   2.59  73.87
dm-6              0.00     0.00    0.00    1.33     0.00    10.67     8.00     0.00    3.50   3.50   0.47

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    62.33    0.00   79.00     0.00   800.00    10.13     0.28    3.55   3.46  27.30
sdb               0.00    61.00    0.00   81.67     0.00   813.33     9.96     0.28    3.36   3.30  26.93
sdc               0.00    56.67    0.00   82.00     0.00   778.67     9.50     0.25    3.09   3.03  24.87
sdd               0.00    55.67    0.00   69.33     0.00   669.33     9.65     0.21    2.98   2.94  20.40
dm-0              0.00     0.00    0.00  424.00     0.00  3061.33     7.22     1.23    2.89   1.80  76.30
dm-1              0.00     0.00    0.00  424.00     0.00  3061.33     7.22     1.23    2.89   1.80  76.33
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.00    4.67   4.67   0.47
dm-5              0.00     0.00    0.00  382.67     0.00  3053.33     7.98     1.23    3.20   1.99  76.00
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    45.33    0.00   83.67     0.00   816.00     9.75     0.30    3.58   3.49  29.20
sdb               0.00    46.00    0.00   85.00     0.00   800.00     9.41     0.28    3.33   3.29  27.93
sdc               0.00    45.33    0.00   75.67     0.00   706.67     9.34     0.20    2.67   2.61  19.77
sdd               0.00    42.67    0.00   82.67     0.00   730.67     8.84     0.30    3.65   3.41  28.17
dm-0              0.00     0.00    0.00  377.67     0.00  3053.33     8.08     0.90    2.38   2.05  77.50
dm-1              0.00     0.00    0.00  377.67     0.00  3053.33     8.08     0.90    2.38   2.05  77.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  336.00     0.00  3045.33     9.06     0.90    2.67   2.31  77.63
dm-6              0.00     0.00    0.00    1.33     0.00    10.67     8.00     0.01    4.25   4.25   0.57

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    89.67    0.00   87.67     0.00  1069.33    12.20     0.29    3.34   3.27  28.70
sdb               0.00    79.00    0.00   82.00     0.00   936.00    11.41     0.25    3.07   2.91  23.90
sdc               0.00    80.33    0.00   85.00     0.00   970.67    11.42     0.26    3.14   3.01  25.60
sdd               0.00    88.00    0.00   87.67     0.00  1056.00    12.05     0.33    3.72   3.60  31.57
dm-0              0.00     0.00    0.00  547.67     0.00  4032.00     7.36     1.27    2.33   1.50  82.27
dm-1              0.00     0.00    0.00  547.67     0.00  4032.00     7.36     1.27    2.33   1.50  82.27
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  504.00     0.00  4024.00     7.98     1.27    2.53   1.63  82.33
dm-6              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.00    3.00   1.00   0.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    63.67    0.00   73.67     0.00   778.67    10.57     0.24    3.21   3.01  22.20
sdb               0.00    70.33    0.00   73.67     0.00   832.00    11.29     0.25    3.44   3.20  23.57
sdc               0.00    66.33    0.00   80.67     0.00   856.00    10.61     0.27    3.41   3.38  27.30
sdd               0.00    60.00    0.00   81.33     0.00   813.33    10.00     0.25    3.07   3.09  25.10
dm-0              0.00     0.00    0.00  450.00     0.00  3280.00     7.29     1.09    2.42   1.68  75.47
dm-1              0.00     0.00    0.00  450.00     0.00  3280.00     7.29     1.09    2.43   1.68  75.50
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  397.33     0.00  3170.67     7.98     1.06    2.65   1.90  75.33
dm-6              0.00     0.00    0.00   13.33     0.00   106.67     8.00     0.04    2.88   1.67   2.23

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    43.67    0.00   75.00     0.00   746.67     9.96     0.20    2.74   2.72  20.43
sdb               0.00    43.33    0.00   85.00     0.00   784.00     9.22     0.31    3.65   3.48  29.57
sdc               0.00    45.00    0.00   84.00     0.00   757.33     9.02     0.28    3.38   3.26  27.37
sdd               0.00    45.00    0.00   78.00     0.00   725.33     9.30     0.23    2.94   2.92  22.77
dm-0              0.00     0.00    0.00  372.00     0.00  3013.33     8.10     0.84    2.26   2.01  74.60
dm-1              0.00     0.00    0.00  372.00     0.00  3013.33     8.10     0.84    2.27   2.01  74.60
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    3.40   3.40   0.57
dm-5              0.00     0.00    0.00  330.33     0.00  3002.67     9.09     0.84    2.54   2.26  74.57
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    68.00    0.00   81.00     0.00   861.33    10.63     0.26    3.26   3.14  25.47
sdb               0.00    63.67    0.00   84.67     0.00   856.00    10.11     0.31    3.62   3.19  27.00
sdc               0.00    61.33    0.00   80.33     0.00   805.33    10.02     0.25    3.11   3.01  24.17
sdd               0.00    63.33    0.00   71.33     0.00   744.00    10.43     0.21    3.00   2.90  20.70
dm-0              0.00     0.00    0.00  449.67     0.00  3266.67     7.26     1.31    2.92   1.66  74.63
dm-1              0.00     0.00    0.00  449.67     0.00  3266.67     7.26     1.31    2.93   1.66  74.67
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  405.00     0.00  3232.00     7.98     1.25    3.10   1.83  74.17
dm-6              0.00     0.00    0.00    4.33     0.00    34.67     8.00     0.06   14.38   4.08   1.77

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    42.00    0.00   70.33     0.00   602.67     8.57     0.21    3.01   3.00  21.07
sdb               0.00    44.33    0.00   73.33     0.00   645.33     8.80     0.26    3.49   3.49  25.57
sdc               0.00    40.33    0.00   62.67     0.00   525.33     8.38     0.19    3.11   2.93  18.33
sdd               0.00    42.33    0.00   73.00     0.00   626.67     8.58     0.23    3.14   3.08  22.47
dm-0              0.00     0.00    0.00  337.00     0.00  2400.00     7.12     0.73    2.19   1.97  66.23
dm-1              0.00     0.00    0.00  337.00     0.00  2400.00     7.12     0.73    2.19   1.97  66.27
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  300.67     0.00  2397.33     7.97     0.74    2.46   2.21  66.33
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    69.33    0.00   91.67     0.00  1069.33    11.67     0.31    3.39   3.20  29.37
sdb               0.00    65.00    0.00   76.33     0.00   840.00    11.00     0.23    2.99   2.75  21.00
sdc               0.00    66.00    0.00   88.33     0.00   944.00    10.69     0.28    3.18   3.09  27.33
sdd               0.00    68.33    0.00   89.33     0.00   970.67    10.87     0.28    3.10   2.98  26.60
dm-0              0.00     0.00    0.00  478.33     0.00  3824.00     7.99     1.56    3.26   1.61  76.90
dm-1              0.00     0.00    0.00  478.33     0.00  3824.00     7.99     1.56    3.27   1.61  77.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    6.40   5.80   0.97
dm-5              0.00     0.00    0.00  430.67     0.00  3786.67     8.79     1.54    3.58   1.78  76.70
dm-6              0.00     0.00    0.00    3.00     0.00    24.00     8.00     0.01    4.00   3.44   1.03

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    62.00    0.00   60.33     0.00   693.33    11.49     0.18    2.98   2.89  17.43
sdb               0.00    60.00    0.00   69.33     0.00   746.67    10.77     0.23    3.39   3.35  23.23
sdc               2.33    57.00    0.33   70.33    21.33   730.67    10.64     0.24    3.37   3.35  23.67
sdd               0.00    61.33    0.00   73.33     0.00   789.33    10.76     0.28    3.83   3.70  27.17
dm-0              0.00     0.00    2.67  406.00    21.33  2960.00     7.30     1.15    2.82   1.72  70.40
dm-1              0.00     0.00    0.00  406.00     0.00  2960.00     7.29     1.16    2.85   1.74  70.47
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  371.00     0.00  2960.00     7.98     1.16    3.12   1.90  70.53
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    39.67    0.00   77.00     0.00   605.33     7.86     0.27    3.46   3.32  25.57
sdb               4.67    43.67    0.67   82.33    42.67   682.67     8.74     0.28    3.32   3.22  26.77
sdc               0.00    48.67    0.00   79.33     0.00   698.67     8.81     0.27    3.36   3.26  25.90
sdd               0.00    44.00    0.00   68.00     0.00   573.33     8.43     0.21    3.05   2.85  19.40
dm-0              0.00     0.00    5.33  360.67    42.67  2560.00     7.11     0.85    2.32   2.02  74.00
dm-1              0.00     0.00    0.00  360.67     0.00  2560.00     7.10     0.85    2.35   2.05  74.03
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    5.33    0.00    42.67     0.00     8.00     0.00    0.50   0.06   0.03
dm-4              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    3.67   3.33   0.67
dm-5              0.00     0.00    0.00  318.00     0.00  2533.33     7.97     0.83    2.62   2.32  73.83
dm-6              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    5.60   5.60   0.93

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    80.67    0.00   83.00     0.00  1106.67    13.33     0.29    3.46   3.29  27.33
sdb               0.00    79.67    0.00   84.67     0.00  1088.00    12.85     0.28    3.31   3.06  25.90
sdc               0.00    76.00    0.00   71.00     0.00   920.00    12.96     0.21    2.90   2.85  20.27
sdd               0.00    68.33    0.00   81.00     0.00   933.33    11.52     0.27    3.40   3.22  26.07
dm-0              0.00     0.00    0.00  500.33     0.00  4048.00     8.09     1.53    3.06   1.46  72.87
dm-1              0.00     0.00    0.00  500.33     0.00  4048.00     8.09     1.53    3.06   1.46  73.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01    7.00   7.00   0.70
dm-5              0.00     0.00    0.00  459.00     0.00  4029.33     8.78     1.52    3.31   1.59  73.07
dm-6              0.00     0.00    0.00    1.33     0.00    10.67     8.00     0.01    5.00   5.00   0.67

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    40.33    0.00   83.67     0.00   650.67     7.78     0.27    3.22   3.12  26.07
sdb               0.00    34.33    0.00   72.00     0.00   509.33     7.07     0.21    2.90   2.87  20.63
sdc               0.00    32.67    0.00   80.33     0.00   560.00     6.97     0.25    3.12   2.98  23.97
sdd               0.00    39.00    0.00   83.33     0.00   637.33     7.65     0.27    3.27   3.17  26.40
dm-0              0.00     0.00    0.00  337.33     0.00  2357.33     6.99     0.85    2.53   2.21  74.43
dm-1              0.00     0.00    0.00  337.33     0.00  2357.33     6.99     0.85    2.53   2.21  74.43
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.33     0.00     2.67     8.00     0.00    3.00   3.00   0.10
dm-5              0.00     0.00    0.00  295.00     0.00  2352.00     7.97     0.85    2.90   2.53  74.50
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    52.00    0.00   72.00     0.00   661.33     9.19     0.22    2.99   3.00  21.57
sdb               0.00    57.33    0.00   75.00     0.00   725.33     9.67     0.25    3.37   3.24  24.33
sdc               0.00    54.67    0.00   84.00     0.00   776.00     9.24     0.29    3.51   3.31  27.77
sdd               0.00    51.67    0.00   83.00     0.00   744.00     8.96     0.30    3.58   3.53  29.27
dm-0              0.00     0.00    0.00  405.00     0.00  2906.67     7.18     1.29    3.18   1.97  79.83
dm-1              0.00     0.00    0.00  405.00     0.00  2906.67     7.18     1.29    3.19   1.97  79.83
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  362.33     0.00  2885.33     7.96     1.29    3.54   2.20  79.87
dm-6              0.00     0.00    0.00    3.00     0.00    24.00     8.00     0.01    2.67   2.00   0.60

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    60.00    0.00   75.67     0.00   904.00    11.95     0.25    3.31   3.07  23.20
sdb               0.00    62.33    0.00   80.00     0.00   904.00    11.30     0.26    3.23   3.07  24.53
sdc               0.00    55.67    0.00   82.00     0.00   850.67    10.37     0.27    3.29   3.00  24.57
sdd               0.00    51.67    0.00   74.33     0.00   760.00    10.22     0.23    3.09   3.00  22.33
dm-0              0.00     0.00    0.00  420.67     0.00  3418.67     8.13     1.34    3.19   1.71  72.00
dm-1              0.00     0.00    0.00  420.67     0.00  3418.67     8.13     1.34    3.19   1.71  72.07
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  374.00     0.00  3349.33     8.96     1.32    3.52   1.93  72.17
dm-6              0.00     0.00    0.00    8.67     0.00    69.33     8.00     0.03    3.00   0.12   0.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    35.00    0.00   77.33     0.00   586.67     7.59     0.25    3.19   3.04  23.53
sdb               0.00    34.67    0.00   76.00     0.00   573.33     7.54     0.24    3.22   3.21  24.43
sdc               0.00    32.33    0.00   69.00     0.00   498.67     7.23     0.23    3.28   3.11  21.47
sdd               0.00    35.33    0.00   69.00     0.00   520.00     7.54     0.22    3.29   3.06  21.13
dm-0              0.00     0.00    0.00  311.33     0.00  2178.67     7.00     0.83    2.68   2.25  70.20
dm-1              0.00     0.00    0.00  311.33     0.00  2178.67     7.00     0.83    2.68   2.26  70.30
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    6.50   5.33   1.07
dm-5              0.00     0.00    0.00  268.67     0.00  2138.67     7.96     0.80    3.00   2.62  70.40
dm-6              0.00     0.00    0.00    2.67     0.00    21.33     8.00     0.02    6.38   4.50   1.20

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    63.00    0.00   84.00     0.00  1002.67    11.94     0.28    3.30   3.17  26.67
sdb               0.00    61.33    0.00   76.00     0.00   866.67    11.40     0.25    3.36   3.15  23.93
sdc               0.00    60.67    0.00   72.33     0.00   816.00    11.28     0.20    2.83   2.81  20.30
sdd               0.00    63.33    0.00   83.00     0.00   922.67    11.12     0.30    3.62   3.31  27.43
dm-0              0.00     0.00    0.00  444.00     0.00  3608.00     8.13     1.19    2.67   1.59  70.67
dm-1              0.00     0.00    0.00  444.00     0.00  3608.00     8.13     1.19    2.67   1.59  70.70
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    4.40   4.40   0.73
dm-5              0.00     0.00    0.00  398.00     0.00  3544.00     8.90     1.17    2.92   1.77  70.50
dm-6              0.00     0.00    0.00    6.33     0.00    50.67     8.00     0.01    2.21   1.84   1.17

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    45.33    0.00   72.00     0.00   618.67     8.59     0.21    2.95   2.85  20.53
sdb               0.00    40.00    0.00   69.33     0.00   557.33     8.04     0.20    2.86   2.86  19.83
sdc               0.00    43.00    0.00   78.67     0.00   656.00     8.34     0.28    3.56   3.51  27.63
sdd               0.00    46.67    0.00   77.67     0.00   680.00     8.76     0.27    3.40   3.33  25.83
dm-0              0.00     0.00    0.00  353.67     0.00  2512.00     7.10     0.81    2.29   2.05  72.50
dm-1              0.00     0.00    0.00  353.67     0.00  2512.00     7.10     0.81    2.29   2.05  72.57
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  315.33     0.00  2512.00     7.97     0.81    2.57   2.30  72.63
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    64.67    0.00   66.00     0.00   730.67    11.07     0.20    2.99   2.89  19.07
sdb               0.00    66.33    0.00   76.67     0.00   832.00    10.85     0.26    3.36   3.22  24.70
sdc               0.00    60.00    0.00   80.00     0.00   805.33    10.07     0.28    3.55   3.42  27.37
sdd               0.00    57.33    0.00   76.00     0.00   749.33     9.86     0.25    3.37   3.34  25.37
dm-0              0.00     0.00    0.00  429.00     0.00  3117.33     7.27     1.03    2.41   1.65  70.90
dm-1              0.00     0.00    0.00  429.00     0.00  3117.33     7.27     1.03    2.41   1.65  70.93
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  387.67     0.00  3088.00     7.97     1.02    2.63   1.82  70.67
dm-6              0.00     0.00    0.00    3.67     0.00    29.33     8.00     0.02    4.27   3.82   1.40

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               4.67    63.67    0.67   78.33    42.67   941.33    12.46     0.27    3.46   3.19  25.23
sdb               2.33    63.33    0.33   84.67    21.33   954.67    11.48     0.28    3.35   3.19  27.13
sdc               0.00    68.00    0.00   82.67     0.00   946.67    11.45     0.28    3.44   3.21  26.57
sdd               0.00    62.67    0.00   66.67     0.00   770.67    11.56     0.17    2.58   2.49  16.57
dm-0              0.00     0.00    8.00  446.00    64.00  3613.33     8.10     1.43    3.16   1.57  71.07
dm-1              0.00     0.00    0.00  446.00     0.00  3613.33     8.10     1.42    3.18   1.59  71.13
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    8.00    0.00    64.00     0.00     8.00     0.02    2.04   0.29   0.23
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  407.33     0.00  3613.33     8.87     1.42    3.49   1.75  71.33
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    46.67    0.00   83.33     0.00   709.33     8.51     0.30    3.60   3.35  27.90
sdb               0.00    47.33    0.00   81.67     0.00   701.33     8.59     0.29    3.52   3.43  28.00
sdc               0.00    43.33    0.00   68.00     0.00   560.00     8.24     0.21    3.03   2.93  19.90
sdd               0.00    43.33    0.00   80.00     0.00   656.00     8.20     0.24    3.00   3.00  24.00
dm-0              0.00     0.00    0.00  369.67     0.00  2626.67     7.11     0.92    2.49   2.07  76.37
dm-1              0.00     0.00    0.00  369.67     0.00  2626.67     7.11     0.92    2.49   2.07  76.37
