
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 348288 2496084 253960 1668932    0    0     0  1470 1879 5117 62  8  0 30  0	
 1  1 348268 2495852 253968 1669332   16    0    16  1694 1933 5191 62  9  0 29  0	
 2  1 348268 2495480 253976 1669672    0    0     0  1450 1895 4895 60  9  0 31  0	
 1  1 348268 2496232 253976 1669056    0    0     0  1684 1935 5101 62  9  0 29  0	
 1  1 348268 2495224 253984 1669444    0    0     0  1204 1954 5151 62 10  0 29  0	
 2  1 348268 2494728 253984 1669808    0    0     0  1504 1951 5206 62  9  0 29  0	
 1  1 348268 2495348 254000 1669208    0    0     0  1278 1944 5089 62  9  0 29  0	
 3  0 348268 2495100 254000 1669560    0    0     0  1286 1886 4863 62  7  0 31  0	
 1  1 348268 2494868 254000 1669900    0    0     0  1822 1863 4804 61  8  0 31  0	
 1  1 348268 2494356 254008 1670240    0    0     0  1608 1893 4817 61  8  0 31  0	
 1  1 348268 2494852 254008 1669612    0    0     0  1286 1870 4754 61  9  0 31  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 348268 2494728 254024 1669976    0    0     0  1790 1889 4729 61  8  1 30  0	
 1  1 348268 2494480 254024 1670304    0    0     0  1274 1853 4850 60  9  0 31  0	
 1  1 348268 2494860 254024 1669624    0    0     0  1328 1892 5080 62  7  0 30  0	
 1  1 348268 2494604 254032 1670036    0    0     0  1640 1919 4876 61  9  0 30  0	
 1  1 348268 2494232 254032 1670376    0    0     0  1260 1890 4860 60  8  0 32  0	
 2  1 348268 2493864 254048 1670724    0    0     0  1772 1869 4696 62  8  0 30  0	
 3  0 348268 2494608 254048 1670088    0    0     0  1274 1854 4737 61  7  0 31  0	
 3  0 348268 2494492 254048 1670432    0    0     0  1770 1864 4775 61  8  0 31  0	
 1  1 348268 2493732 254056 1670764    0    0     0  1562 1925 4727 59  9  1 32  0	
 1  1 348268 2493484 254056 1671116    0    0     0  1368 1932 5223 63  7  0 30  0	
